钱包地址,节点类型,当前等级,membership等级,状态,付费类型,购买金额,购买TX,金库存入(45D+),金库总存入,金库计划,是否激活金库,直推大节点,直推小节点,节点收益,经纪人收益,earnings_capacity,问题标记
0x5EEe521C753f04fC31633c6A65C89879E1d20A1d,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,10000,10500,45_DAYS,是,5,0,108.00,35.67,1,正常
0x250420dD4e8f71dB3820e741fCfB00562547922a,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,3200,3700,45_DAYS,是,2,0,108.00,31.64,1,正常
0xa4b5ee15C6B9e70A76b2f37F8B2101Abce54A4B5,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,1100,1600,90_DAYS,是,0,0,108.00,0.00,1,正常
0xF3bF90daDE9F6f621eB1290E50faEC56BCdD965A,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,1000,1000,90_DAYS,是,2,0,0.00,0.00,1,正常
0x77200c71B651d05a38f453EE9cF2904f48833149,MAX,V6,V6,PENDING_MILESTONES,真实付费,6000,0x14ab9d93536ba19a715b46db53d6a78b231404f0fc226e4baae27b6da8fa5996,1000,1500,90_DAYS,是,1,1,108.00,56.77,1,正常
0xd09A1c4fb4e6DCbEeD91c9DC46Fbe76A920FefDf,MAX,V6,V6,PENDING_MILESTONES,真实付费,6000,0xac6c6a4e2c0d4701453a9f618122dbec6db2e7943188e7c0f4b958549ffcf81f,1000,1500,90_DAYS,是,2,0,108.00,14.97,1,正常
0xd0759335f79e3F3e20a219cce7e6068150C5577f,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,1000,1500,90_DAYS,是,1,0,54.00,0.00,1,正常
0xB05d59F5DF031d3319cc7Aad08FCe5bBe24e96eB,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,0,1000,-,否,2,0,0.00,0.00,1,有等级无金库
0x8C5Ef840845E6cF759694FB54A192221199b72cE,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,1000,1000,90_DAYS,是,2,0,0.00,0.00,1,正常
0x6e89651C3Ade5d6663C1339F6398364d948d0Ad3,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,1000,1500,90_DAYS,是,0,1,54.00,0.97,1,正常
0x6f474E2499e802Fca8A94B00eC150F77f5c5dabE,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,1000,1500,90_DAYS,是,2,0,108.00,12.19,1,正常
0x94A3e4B0F01a211df09337705fe0c4C3832d7cdb,MAX,V6,V6,PENDING_MILESTONES,手动调整,6600,-,1000,1500,90_DAYS,是,3,0,54.00,9.22,1,正常
